TravelPackage Name,Country,Region,Availability Status,Duration in Days,Maximum Group Size,Price Per Person,Meals Included,Preferred Guide Language,Transportation Modes,Package Type,Membership,Guide Included,Insurance Included,Visa Assistance,Average Rating,Additional Notes,Places Covered
Northern Adventure,Philippines,Philippines,Available,5,12,2500,Full Board,Tagalog,Bus;Private Vehicle,Adventure,Basic,Yes,Yes,No,4,Thrilling mountain escape,"Baguio, Sagada, Banaue"
Island Hopper,Philippines,Philippines,Available,3,20,3000,Breakfast Only,English,Cruise;Private Vehicle,Cruise,Gold,Yes,Yes,No,5,Perfect for beach lovers,"Cebu, Bohol, Siquijor"
Urban Discovery,Philippines,Philippines,Upcoming,2,15,1800,None,Tagalog,Private Vehicle,Business,Basic,No,No,No,3,Explore the metro hotspots,"Quezon City, Manila"
Highlands Trek,Philippines,Philippines,Available,4,10,2800,Full Board,English,Bus;Private Vehicle,Adventure,VIP,Yes,Yes,No,4,Great for seasoned hikers,"Mt. Pulag, Baguio"
Southern Comfort,Philippines,Philippines,Unavailable,5,25,2700,Full Board,Tagalog,Flight;Private Vehicle,Family,Gold,Yes,No,No,5,Relaxing nature and culture,"Davao, Samal"
Luzon Explorer,Philippines,Philippines,Available,6,30,3200,Full Board,English,Bus;Private Vehicle,Friends,Basic,Yes,Yes,No,4,Visit key sites in Luzon,"Vigan, Baguio, Tarlac"
Eco-Island Retreat,Philippines,Philippines,Available,4,15,2600,Breakfast Only,Tagalog,Cruise;Private Vehicle,Wildlife,Basic,Yes,Yes,No,4,Eco-friendly island getaway,"Bohol, Panglao"
Cultural Caravan,Philippines,Philippines,Available,3,10,1900,Full Board,Tagalog,Private Vehicle,Religious,Gold,Yes,No,No,3,Dive into Filipino heritage,"Manila, Pampanga"
Mindanao Explorer,Philippines,Philippines,Upcoming,5,12,2900,Full Board,English,Flight;Bus,Solo,Basic,Yes,Yes,No,5,For the thrill-seekers,"Cagayan de Oro, Bukidnon"
Bicol Bound,Philippines,Philippines,Available,3,18,2200,Breakfast Only,English,Private Vehicle,Adventure,Basic,No,Yes,No,3,Volcanoes and hot springs,"Albay, CamSur"
Family Fiesta Tour,Philippines,Philippines,Available,4,20,2400,Full Board,Tagalog,Cruise;Private Vehicle,Family,VIP,Yes,Yes,No,5,Family fun in the islands,"Iloilo, Guimaras"
Culture & Caves,Philippines,Philippines,Available,2,8,2100,None,Tagalog,Bus;Private Vehicle,Religious,Basic,Yes,Yes,No,4,Natural & cultural wonders,"Bukidnon, Davao del Norte"
Hidden Gems Trail,Philippines,Philippines,Unavailable,6,16,2700,Breakfast Only,English,Private Vehicle;Bus,Adventure,Gold,Yes,Yes,No,4,Off-the-beaten-path adventure,"Ifugao, Nueva Ecija"
Island to Island,Philippines,Philippines,Available,5,22,3100,Full Board,Tagalog,Cruise;Flight,Cruise,VIP,Yes,Yes,No,5,Island hopping all the way,"Cebu, Bohol, Leyte"
Tagaytay Getaway,Philippines,Philippines,Available,2,10,1800,None,Tagalog,Private Vehicle,Honeymoon,Basic,No,No,No,3,Quick and cozy weekend escape,"Tagaytay, Cavite"
Northern Culture,Philippines,Philippines,Available,4,15,2500,Breakfast Only,English,Bus;Private Vehicle,Friends,Gold,Yes,Yes,No,4,Learn traditions and crafts,"Ilocos Norte, La Union"
Volcano Adventures,Philippines,Philippines,Upcoming,3,12,2000,Full Board,Tagalog,Private Vehicle;Bus,Adventure,Basic,Yes,Yes,No,4,Lava fields and hot springs,"Taal, Mayon, Camiguin"
South Seas Escape,Philippines,Philippines,Available,5,25,2700,Full Board,Tagalog,Flight;Cruise,Cruise,Gold,Yes,Yes,No,5,Tranquil paradise,"Tawi-Tawi, Zamboanga"
Art and Eats,Philippines,Philippines,Available,2,10,1900,Full Board,Tagalog,Private Vehicle,Business,Basic,Yes,No,No,3,Art galleries & food tours,"Quezon City, San Juan"
Mega Manila Tour,Philippines,Philippines,Available,2,18,2000,Breakfast Only,Tagalog,Bus;Private Vehicle,Family,Basic,No,Yes,No,4,Classic city tour,"Manila, San Juan, Makati"
